eta,N,L0,M,n_runs,nu_mean,nu_sd,c_s_mass
0.05,1600,314.159271,500,10,0.0009642474532,1.09252e-05,1.568732
0.05,1600,314.159271,1000,10,0.0008055851673,6.76623e-06,1.571863
0.05,1600,314.159271,2000,10,0.0006281470202,9.28833e-06,1.562469
0.10,100,39.269909,50,10,0.007791937882,0.000146926,1.739874
0.10,100,39.269909,200,10,0.004764685826,7.97209e-05,1.753792
0.10,100,39.269909,500,10,0.00315695844,3.5214e-05,1.753792
0.10,100,39.269909,1000,10,0.002286692847,1.89794e-05,1.767710
0.10,100,39.269909,2000,10,0.001630261522,2.4289e-05,1.767708
0.10,400,78.539818,50,10,0.00509836195,0.000259112,1.776992
0.10,400,78.539818,200,10,0.003825215982,9.729e-05,1.730596
0.10,400,78.539818,500,10,0.002855062257,2.38219e-05,1.758431
0.10,400,78.539818,1000,10,0.002141176376,1.78654e-05,1.758431
0.10,400,78.539818,2000,10,0.001558120344,2.60699e-05,1.753790
0.10,900,117.809723,50,35,0.003561768082,9.71955e-05,1.756442
0.10,900,117.809723,200,35,0.003083411245,6.28777e-05,1.752465
0.10,900,117.809723,500,35,0.002498639624,3.75211e-05,1.755116
0.10,900,117.809723,1000,35,0.001980117604,3.61999e-05,1.756442
0.10,900,117.809723,2000,35,0.001497789667,1.90109e-05,1.760418
0.10,1600,157.079636,50,35,0.002722006802,5.55079e-05,1.752465
0.10,1600,157.079636,200,35,0.002486553179,5.60229e-05,1.744512
0.10,1600,157.079636,500,35,0.002153091263,2.80514e-05,1.745837
0.10,1600,157.079636,1000,35,0.001796590813,3.04892e-05,1.747163
0.10,1600,157.079636,2000,34,0.001412220837,2.65572e-05,1.750789
0.10,1600,157.079636,3200,10,0.001171364907,9.77356e-06,1.758429
0.10,2500,196.349548,50,10,0.002177146339,4.07025e-05,1.735232
0.10,2500,196.349548,200,10,0.002078862944,5.68e-05,1.753791
0.10,2500,196.349548,500,10,0.001877272086,5.1292e-05,1.753791
0.10,2500,196.349548,1000,10,0.001627747981,2.08562e-05,1.749150
0.10,2500,196.349548,2000,10,0.001333425572,1.99713e-05,1.758429
0.10,2500,196.349548,5000,10,0.0009309538329,1.19282e-05,1.749149
0.30,100,13.089969,50,10,0.04127039771,0.00119525,2.911245
0.30,100,13.089969,200,10,0.02471632616,0.000525795,2.874058
0.30,100,13.089969,500,10,0.01654559538,0.000312236,2.903751
0.30,100,13.089969,1000,10,0.0119509796,0.000205249,2.918599
0.30,100,13.089969,2000,10,0.008455192855,0.000177016,2.896307
0.30,400,26.179939,50,10,0.02552409677,0.000652491,2.888917
0.30,400,26.179939,200,10,0.01971406169,0.000532832,2.896315
0.30,400,26.179939,500,10,0.01448127326,0.000247543,2.896319
0.30,400,26.179939,1000,10,0.0108881802,0.000158072,2.903742
0.30,400,26.179939,2000,10,0.00796453875,8.56669e-05,2.911167
0.30,900,39.269909,50,35,0.01771650933,0.000526962,2.862364
0.30,900,39.269909,200,35,0.01542892454,0.000396137,2.872976
0.30,900,39.269909,500,35,0.01252077367,0.000257209,2.881455
0.30,900,39.269909,1000,35,0.009922248882,0.000115712,2.883575
0.30,900,39.269909,2000,35,0.007488369972,0.000119122,2.883571
0.30,1600,52.359879,50,35,0.01360114967,0.000337947,2.881467
0.30,1600,52.359879,200,35,0.01243528062,0.000269622,2.870844
0.30,1600,52.359879,500,35,0.01074356,0.000193305,2.866601
0.30,1600,52.359879,1000,35,0.008951260257,0.000162016,2.864482
0.30,1600,52.359879,2000,35,0.0070372079,0.000116336,2.870842
0.30,1600,52.359879,3200,10,0.005833124496,6.33882e-05,2.881453
0.30,2500,65.449844,50,10,0.01098626939,0.00020839,2.888881
0.30,2500,65.449844,200,10,0.0102726018,0.000226754,2.859183
0.30,2500,65.449844,500,10,0.009469194884,0.000162626,2.918590
0.30,2500,65.449844,1000,10,0.008127611772,0.000132483,2.881458
0.30,2500,65.449844,2000,10,0.006639943747,0.000125948,2.888883
0.30,2500,65.449844,5000,10,0.004636405542,5.78707e-05,2.874019
0.50,100,7.853982,50,10,0.1377115078,0.00557323,5.507166
0.50,100,7.853982,200,10,0.08373983621,0.00209918,5.520284
0.50,100,7.853982,500,10,0.05656184722,0.00141956,5.627536
0.50,100,7.853982,1000,10,0.04045291725,0.00076339,5.600651
0.50,100,7.853982,2000,10,0.02883985114,0.000544239,5.600565
0.50,400,15.707963,50,10,0.08248606588,0.00271068,5.453347
0.50,400,15.707963,200,10,0.06385802348,0.00115204,5.480031
0.50,400,15.707963,500,10,0.04748160115,0.00096715,5.547059
0.50,400,15.707963,1000,10,0.03526477218,0.00107275,5.493405
0.50,400,15.707963,2000,10,0.02573006426,0.000418375,5.493450
0.50,900,23.561945,50,10,0.05880008394,0.0035587,5.600718
0.50,900,23.561945,200,10,0.04906527738,0.00112159,5.386290
0.50,900,23.561945,500,10,0.04098360595,0.000520488,5.560450
0.50,900,23.561945,1000,10,0.03182837148,0.000527826,5.453241
0.50,900,23.561945,2000,10,0.0242570896,0.000335023,5.506823
0.50,1600,31.415928,50,10,0.04303792912,0.00142836,5.399661
0.50,1600,31.415928,200,10,0.0398863185,0.000929717,5.453245
0.50,1600,31.415928,500,10,0.03434143548,0.000915876,5.426434
0.50,1600,31.415928,1000,10,0.02905791531,0.000223575,5.506852
0.50,1600,31.415928,2000,10,0.02279365532,0.000314811,5.506808
0.60,100,6.544985,50,10,0.2615999969,0.0212038,8.463560
0.60,100,6.544985,200,10,0.1552511395,0.0065005,8.279832
0.60,100,6.544985,500,10,0.1014077678,0.00386059,8.162503
0.60,100,6.544985,1000,10,0.07304771222,0.00200829,8.181872
0.60,100,6.544985,2000,10,0.05220194606,0.00179686,8.201305
0.60,400,13.089969,50,10,0.1516400769,0.00756701,8.240796
0.60,400,13.089969,200,10,0.1154377227,0.00447205,8.143065
0.60,400,13.089969,500,10,0.08682422029,0.00209513,8.337791
0.60,400,13.089969,1000,10,0.06404827637,0.00208472,8.201262
0.60,400,13.089969,2000,10,0.04717504656,0.000784889,8.279217
0.60,900,19.634954,50,10,0.1049938078,0.00334271,8.260022
0.60,900,19.634954,200,10,0.09066819315,0.00317066,8.220954
0.60,900,19.634954,500,10,0.074926116,0.00264916,8.396238
0.60,900,19.634954,1000,10,0.05878169051,0.00159619,8.318291
0.60,900,19.634954,2000,10,0.04415431469,0.00156798,8.279181
0.60,1600,26.179939,50,10,0.07877461645,0.00250078,8.181916
0.60,1600,26.179939,200,10,0.07297762378,0.0025913,8.259892
0.60,1600,26.179939,500,10,0.06299329799,0.00186398,8.240319
0.60,1600,26.179939,1000,10,0.05252266006,0.000838064,8.240229
0.60,1600,26.179939,2000,10,0.04178435704,0.000718676,8.357056
0.65,100,6.041524,50,10,0.3605999957,0.020871,10.607243
0.65,100,6.041524,200,10,0.2266321995,0.00818673,10.989295
0.65,100,6.041524,500,10,0.1518148147,0.00559046,11.110350
0.65,100,6.041524,1000,10,0.1076660436,0.00270426,10.964436
0.65,100,6.041524,2000,10,0.0769274305,0.00114618,10.988514
0.65,400,12.083049,50,10,0.215224798,0.0104688,10.722142
0.65,400,12.083049,200,10,0.1639364737,0.009366,10.601073
0.65,400,12.083049,500,10,0.120413317,0.004509,10.600313
0.65,400,12.083049,1000,10,0.08968486238,0.00278952,10.527529
0.65,400,12.083049,2000,10,0.0633245375,0.00213225,10.187862
0.65,900,18.124573,50,10,0.1426094718,0.0105223,10.309968
0.65,900,18.124573,200,10,0.1257641906,0.00669508,10.478899
0.65,900,18.124573,500,10,0.09964272993,0.00223474,10.260974
0.65,900,18.124573,1000,10,0.08020891505,0.00215389,10.430524
0.65,900,18.124573,2000,10,0.06025198795,0.00207747,10.381905
0.65,1600,24.166098,50,10,0.1078862735,0.00636034,10.309393
0.65,1600,24.166098,200,10,0.09760453362,0.00319211,10.163724
0.65,1600,24.166098,500,10,0.08686888923,0.00200429,10.454714
0.65,1600,24.166098,1000,10,0.07192672776,0.00260347,10.382002
0.65,1600,24.166098,2000,10,0.05615731005,0.00217055,10.333420
